UID,runID,cutID,SieveRowID,SieveColID,bpmX,bpmY,focal_theta,focal_x,focal_phi,focal_y,targetCalTh,targetCalPh,targetMeaTh,targetMeaPh,residualTh,residualPh
22571102,2257,79,2,11,-2e-4,-4.98e-4,0.006429851101928375,0.08688891053443526,0.007503074628099174,-0.021851584187327824,-0.014398,0.018896,-0.013981053010190893,0.018915219404892752,-4.16946989809106e-4,-1.9219404892752705e-5
22450305,2245,124,5,3,-0.002208,-0.003497,-0.006401703698630137,-0.0497224438630137,-0.01267024202739726,0.003012182909589041,0.021458,-0.008905,0.02046936133738762,-0.008640051658873231,9.886386626123816e-4,-2.6494834112676907e-4
22450905,2245,166,5,9,-0.002208,-0.003497,-0.01209846159574468,-0.018495444202127658,0.009682524122340426,-0.016863060638297872,0.021458,0.014747,0.02176103166963266,0.014800610578522059,-3.030316696326561e-4,-5.3610578522058536e-5
22411001,2241,169,1,10,-0.0032,-4.99e-4,0.010249594261363636,-0.03520049872159091,0.0065572528125,-0.020996707357954544,-0.021182,0.01888,-0.021507774627291126,0.018406932630900263,3.257746272911251e-4,4.7306736909973713e-4
22440602,2244,142,2,6,0.001792,-0.003498,0.00715081174863388,-0.030814855491803277,-4.329397090163934e-4,2.470980590710382e-4,-0.019296,-0.001824,-0.01899222548365655,-0.001720643104641389,-3.0377451634345105e-4,-1.0335689535861096e-4
22560601,2256,239,1,6,-1.97e-4,-5e-4,0.010206710282051282,-0.14428956923076924,-0.002978193878205128,-0.005539523856410256,-0.027985,2.01e-4,-0.02833943444882225,1.9592080899214097e-4,3.544344488222499e-4,5.079191007859037e-6
22440502,2244,135,2,5,0.001792,-0.003498,0.006429398764367816,-0.02542450356321839,-0.0029057714873563217,0.007939090465517242,-0.019296,-0.008077,-0.019335546076807562,-0.008006866143695114,3.954607680756206e-5,-7.01338563048872e-5
22560605,2256,243,5,6,-1.97e-4,-5e-4,-0.012351798387096774,-0.1533152879032258,-0.0026659085190860214,-0.004884271650537634,0.026355,2.01e-4,0.026556652524411226,-1.304079197552961e-4,-2.016525244112253e-4,3.314079197552961e-4
22440905,2244,166,5,9,0.001792,-0.003498,-0.011909113950276244,-0.017787097955801107,0.009300228066298342,-0.013275788842541436,0.02147,0.01068,0.022039550551910016,0.011375199236588255,-5.695505519100172e-4,-6.951992365882547e-4
22400504,2240,137,4,5,-2e-4,-5e-4,-0.004118199148351648,-0.026701723626373627,-0.005733985271978022,0.004753220678571429,0.01277,-0.006047,0.012813080693567298,-0.006112742302399904,-4.30806935672975e-5,6.574230239990356e-5
22560403,2256,227,3,4,-1.97e-4,-5e-4,-0.002075503235227273,-0.16148117329545456,-0.0064733794318181815,0.008456111035227273,0.005978,-0.008502,0.005883534143118819,-0.008794295924502307,9.446585688118089e-5,2.922959245023082e-4
22560505,2256,236,5,5,-1.97e-4,-5e-4,-0.010446738917525773,-0.16116417010309278,-0.009160380195876288,-4.2267347409793814e-4,0.026355,-0.00605,0.026375237154792588,-0.006265337239663613,-2.023715479258854e-5,2.1533723966361267e-4
22450805,2245,159,5,8,-0.002208,-0.003497,-0.011265183377659575,-0.019880160744680853,0.0026324044342021275,-0.012472283617021277,0.021458,0.008497,0.02190103534381189,0.0087825532219567,-4.430353438118895e-4,-2.8555322195670125e-4
22400304,2240,123,4,3,-2e-4,-5e-4,-0.0028033329098143237,-0.040910398938992044,-0.008476902785145889,0.010818106551724138,0.01277,-0.01095,0.011663335390862345,-0.011262775175516136,0.0011066646091376553,3.1277517551613656e-4
22571202,2257,86,2,12,-2e-4,-4.98e-4,0.0030852019710526316,0.09863696226315789,0.009867213842105264,-0.024504393157894738,-0.007606,0.022083,-0.0074034668691376464,0.022264639894525495,-2.0253313086235323e-4,-1.8163989452549593e-4
22570505,2257,40,5,5,-2e-4,-4.98e-4,-0.010929957356321839,0.10390184551724138,-0.008482281206896551,5.565149458908046e-4,0.026357,-0.006047,0.026177011874145797,-0.006047562865292387,1.7998812585420083e-4,5.628652923866213e-7
22390702,2239,149,2,7,0.003794,-5.01e-4,0.0028840259065934064,-0.028048625796703298,0.0025728010513736263,7.247742968956044e-4,-0.007613,-7.37e-4,-0.007581146799546855,7.459651736675717e-5,-3.1853200453144834e-5,-8.115965173667572e-4
22400400,2240,126,0,4,-2e-4,-5e-4,0.011956499256198348,-0.011897631950214876,-0.01016102385399449,-2.5354493774104684e-4,-0.034777,-0.008499,-0.03419519020550642,-0.007976936335900566,-5.818097944935819e-4,-5.220636640994338e-4
22441102,2244,177,2,11,0.001792,-0.003498,0.008805683244047619,-0.041788636309523806,0.010935450029761904,-0.017524796458333332,-0.019296,0.016871,-0.018427083952524036,0.01717056883169684,-8.689160474759655e-4,-2.9956883169683846e-4
22410702,2241,149,2,7,-0.0032,-4.99e-4,0.003270155922077922,-0.027875343116883118,2.083058647012987e-4,-0.0075010456883116885,-0.007603,0.006381,-0.008331068941478127,0.00527733839666651,7.280689414781266e-4,0.0011036616033334905
22390804,2239,158,4,8,0.003794,-5.01e-4,-0.005701066288951841,-0.01913441892351275,0.0036352215127478755,-0.003717651062322946,0.012775,0.00239,0.012410993802712492,0.0028857760439471303,3.6400619728750827e-4,-4.957760439471299e-4
